Segment,Pageviews,50 Percent,75 Percent,100 Percent
/lgbtq/common-ally-questions,14250,3726,2172,243
/lgbtq/symbols-ace-spectrum,8464,5899,3165,281
/lgbtq/pros-and-cons-being-ally,5281,3240,2116,281
/lgbtq,4625,2303,1891,693
/lgbtq/frequently-asked-questions-faq,2977,1161,786,131
/lgbtq/terminology-list,3202,487,300,19
/lgbtq/upcoming-events,1292,974,637,56
/housing/lgbtq-living-learning-community,1198,992,412,56
/lgbtq/lgbtq-community-resources,712,599,318,94
/lgbtq/ohio-legal-name-change-process,880,412,281,37
/lgbtq/other-ace-identities,674,618,225,37
/lgbtq/trans-ksu,824,393,281,19
/lgbtq/center-staff,580,449,356,56
/lgbtq/safe-space-and-other-trainings,693,412,262,19
/lgbtq/quest-mentorship-program,618,468,225,37
/lgbtq/lgbtq-programs-and-events,599,468,262,0
/lgbtq/transgender-resource-guide,487,449,300,75
/lgbtq/social-groups,562,393,262,19
/colleges/ph/lgbtq-public-health-graduate-certificate/,562,449,206,0
/publichealth/lgbtq-community-needs-assessment,468,337,262,37
/lgbtq/contact-us,524,337,169,0
/lgbtq/student-resources,524,412,75,19
/lgbtq/chosen-name-pronouns,356,337,281,19
/lgbtq/lgbtq-assistance-and-resources,375,318,187,94
/lgbtq/financial-support,468,262,243,0
/lgbtq/ken-ditlevson-0,412,281,225,37
/lgbtq/discover-lgbtq-kent-state,337,318,150,75
/lgbtq/rainbow-run-5k,356,225,169,0
/lgbtq/emailing-professors,300,225,150,19
/lgbtq/graduation-name-concerns,281,150,94,19
/lgbtq-studies,187,150,131,56
/lgbtq/event/holding-space,243,187,94,0
/lgbtq/hivsti-testing-prep-resources,262,187,56,0
/multidisciplinary-studies/lgbtq-studies-0/lauren-vachon,206,169,94,19
/lgbtq/history-center,169,150,131,37
/lgbtq/lgbtq-center-action-team-lsac,150,150,131,37
/lgbtq/flashes-pride-coming-out-poster,169,150,94,0
/lgbtq/how-change-your-chosen-name,206,112,75,0
/lgbtq/queerplatonic-relationships,150,131,75,37
/lgbtq/lavender-graduation-award-winners-keynote-speakers,150,112,94,19
/csi/lgbtq-center,150,131,37,19
/lgbtq/interns,131,112,75,19
/lgbtq/event/transgender-day-visibility-0,131,94,37,19
/lgbtq/open-and-affirming-religious-organizations,131,94,56,0
/multidisciplinary-studies/lgbtq-studies-0/people,131,131,19,0
/lgbtq/how-be-ally,150,75,37,0
/lgbtq/meghan-schwind,112,94,56,0
/stark/lgbtq-resource-center,131,94,37,0
/alumni/event/lgbtq-student-and-alumni-tailgayte,131,75,37,0
/lgbtq/counseling-services,112,75,56,0
/lgbtq/rights-ohio,112,75,56,0
/lgbtq/faculty-and-staff,94,75,37,19
/lgbtq/trumbull-lgbtq-resources-0,94,75,56,0
/lgbtq/event/lgbtq-fall-semester-kick-0,94,75,37,0
/lgbtq/historymonth,131,56,19,0
/cpm/lgbtq-student-center,94,75,19,0
/lgbtq/center-wishlist,94,94,0,0
